Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Technical details,Chrome 61.0.3163.100,,2017-11-13 14:51:54,2017-11-13 14:53:03,1m - 9.783s,FAILED
,,,,,,
Test Cases/GOLIVE/Enter Business Case,Chrome 61.0.3163.100,,2017-11-13 14:51:54,2017-11-13 14:52:16,21.681s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-13 14:51:55,2017-11-13 14:51:58,3.151s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-13 14:51:58,2017-11-13 14:52:00,1.826s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 14:52:00,2017-11-13 14:52:00,0.277s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 14:52:00,2017-11-13 14:52:00,0.157s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-13 14:52:00,2017-11-13 14:52:06,6.440s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-13 14:52:06,2017-11-13 14:52:08,1.177s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 14:52:08,2017-11-13 14:52:08,0.262s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 14:52:08,2017-11-13 14:52:09,0.890s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 14:52:09,2017-11-13 14:52:10,1.439s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 14:52:10,2017-11-13 14:52:10,0.210s,PASSED
doubleClick,Chrome 61.0.3163.100,,2017-11-13 14:52:10,2017-11-13 14:52:13,2.845s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 14:52:13,2017-11-13 14:52:15,1.790s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-11-13 14:52:15,2017-11-13 14:52:15,0.301s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 14:52:15,2017-11-13 14:52:16,0.334s,PASSED
,,,,,,
Test Cases/GOLIVE/Enter Technical Details,Chrome 61.0.3163.100,,2017-11-13 14:52:16,2017-11-13 14:53:02,46.556s,FAILED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:16,2017-11-13 14:52:18,1.478s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 14:52:18,2017-11-13 14:52:20,2.028s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:20,2017-11-13 14:52:20,0.406s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 14:52:20,2017-11-13 14:52:22,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:22,2017-11-13 14:52:22,0.363s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 14:52:22,2017-11-13 14:52:24,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:24,2017-11-13 14:52:25,0.338s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 14:52:25,2017-11-13 14:52:28,3.002s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:28,2017-11-13 14:52:28,0.374s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 14:52:28,2017-11-13 14:52:30,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 14:52:30,2017-11-13 14:53:02,32.191s,FAILED
