Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Technical details,Chrome 61.0.3163.100,,2017-11-10 13:25:41,2017-11-10 13:26:15,34.241s,FAILED
,,,,,,
Test Cases/GOLIVE/Enter Business Case,Chrome 61.0.3163.100,,2017-11-10 13:25:41,2017-11-10 13:26:14,32.721s,FAILED
openBrowser,Chrome 61.0.3163.100,,2017-11-10 13:25:42,2017-11-10 13:25:45,3.069s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-10 13:25:45,2017-11-10 13:25:47,1.820s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 13:25:47,2017-11-10 13:25:47,0.300s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 13:25:47,2017-11-10 13:25:47,0.161s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-10 13:25:47,2017-11-10 13:25:53,5.571s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-10 13:25:53,2017-11-10 13:25:54,1.182s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 13:25:54,2017-11-10 13:25:54,0.277s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 13:25:54,2017-11-10 13:25:55,0.833s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 13:25:55,2017-11-10 13:25:57,1.467s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 13:25:57,2017-11-10 13:25:57,0.244s,PASSED
doubleClick,Chrome 61.0.3163.100,,2017-11-10 13:25:57,2017-11-10 13:25:59,2.741s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 13:25:59,2017-11-10 13:26:14,14.534s,FAILED
,,,,,,
Test Cases/GOLIVE/Enter Technical Details,Chrome 61.0.3163.100,,2017-11-10 13:26:14,2017-11-10 13:26:14,0.266s,FAILED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-10 13:26:14,2017-11-10 13:26:14,0.036s,FAILED
