Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Verify Technical details,Chrome 61.0.3163.100,,2017-11-13 15:15:34,2017-11-13 15:16:32,57.305s,FAILED
,,,,,,
Test Cases/GOLIVE/Enter Business Case,Chrome 61.0.3163.100,,2017-11-13 15:15:35,2017-11-13 15:15:57,22.269s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-13 15:15:35,2017-11-13 15:15:38,3.152s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-13 15:15:38,2017-11-13 15:15:40,1.709s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:15:40,2017-11-13 15:15:40,0.339s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:15:40,2017-11-13 15:15:41,0.218s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-13 15:15:41,2017-11-13 15:15:47,6.516s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-13 15:15:47,2017-11-13 15:15:48,1.171s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:15:48,2017-11-13 15:15:49,0.266s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:15:49,2017-11-13 15:15:49,0.873s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:15:49,2017-11-13 15:15:51,1.456s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:15:51,2017-11-13 15:15:51,0.230s,PASSED
doubleClick,Chrome 61.0.3163.100,,2017-11-13 15:15:51,2017-11-13 15:15:55,3.352s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:15:55,2017-11-13 15:15:56,1.704s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-11-13 15:15:56,2017-11-13 15:15:57,0.417s,PASSED
click,Chrome 61.0.3163.100,,2017-11-13 15:15:57,2017-11-13 15:15:57,0.236s,PASSED
,,,,,,
Test Cases/GOLIVE/Enter Technical Details,Chrome 61.0.3163.100,,2017-11-13 15:15:57,2017-11-13 15:16:30,33.447s,FAILED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:15:57,2017-11-13 15:15:59,1.554s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:15:59,2017-11-13 15:16:01,2.032s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:01,2017-11-13 15:16:01,0.415s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:01,2017-11-13 15:16:03,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:03,2017-11-13 15:16:04,0.385s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:04,2017-11-13 15:16:06,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:06,2017-11-13 15:16:06,0.401s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:06,2017-11-13 15:16:09,3.004s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:09,2017-11-13 15:16:10,0.489s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:10,2017-11-13 15:16:12,2.004s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:12,2017-11-13 15:16:12,0.425s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:12,2017-11-13 15:16:14,2.001s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:14,2017-11-13 15:16:14,0.370s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:14,2017-11-13 15:16:16,2.005s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:16:16,2017-11-13 15:16:17,0.388s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:17,2017-11-13 15:16:18,1.003s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:16:18,2017-11-13 15:16:18,0.360s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:18,2017-11-13 15:16:19,1.002s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-13 15:16:19,2017-11-13 15:16:20,0.489s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:20,2017-11-13 15:16:22,2.003s,PASSED
scrollToElement,Chrome 61.0.3163.100,,2017-11-13 15:16:22,2017-11-13 15:16:22,0.167s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:22,2017-11-13 15:16:22,0.375s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:22,2017-11-13 15:16:24,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:24,2017-11-13 15:16:25,0.468s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:25,2017-11-13 15:16:27,2.003s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:27,2017-11-13 15:16:27,0.523s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-13 15:16:27,2017-11-13 15:16:29,2.001s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-13 15:16:29,2017-11-13 15:16:30,1.182s,FAILED
