Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
GoLive,Chrome 61.0.3163.100,,2017-11-10 10:08:26,2017-11-10 10:08:57,30.865s,FAILED
,,,,,,
Test Cases/GOLIVE/Go_Live,Chrome 61.0.3163.100,,2017-11-10 10:08:27,2017-11-10 10:08:55,28.801s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-11-10 10:08:27,2017-11-10 10:08:30,2.931s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-11-10 10:08:30,2017-11-10 10:08:32,1.766s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:32,2017-11-10 10:08:32,0.288s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:32,2017-11-10 10:08:32,0.159s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:32,2017-11-10 10:08:39,6.607s,PASSED
maximizeWindow,Chrome 61.0.3163.100,,2017-11-10 10:08:39,2017-11-10 10:08:40,1.176s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:40,2017-11-10 10:08:44,3.710s,PASSED
sendKeys,Chrome 61.0.3163.100,,2017-11-10 10:08:44,2017-11-10 10:08:44,0.257s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:44,2017-11-10 10:08:45,0.612s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:45,2017-11-10 10:08:46,1.279s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:08:46,2017-11-10 10:08:48,2.021s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:48,2017-11-10 10:08:48,0.312s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:48,2017-11-10 10:08:49,0.713s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:08:49,2017-11-10 10:08:51,2.002s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:51,2017-11-10 10:08:51,0.211s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:51,2017-11-10 10:08:51,0.140s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:51,2017-11-10 10:08:52,0.448s,PASSED
delay,Chrome 61.0.3163.100,,2017-11-10 10:08:52,2017-11-10 10:08:53,1.003s,PASSED
setText,Chrome 61.0.3163.100,,2017-11-10 10:08:53,2017-11-10 10:08:53,0.628s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:53,2017-11-10 10:08:54,0.212s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:54,2017-11-10 10:08:54,0.576s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:54,2017-11-10 10:08:54,0.211s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:54,2017-11-10 10:08:54,0.174s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:54,2017-11-10 10:08:55,0.181s,PASSED
selectOptionByValue,Chrome 61.0.3163.100,,2017-11-10 10:08:55,2017-11-10 10:08:55,0.341s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:55,2017-11-10 10:08:55,0.207s,PASSED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:55,2017-11-10 10:08:55,0.218s,PASSED
,,,,,,
Test Cases/GOLIVE/ClickNext,Chrome 61.0.3163.100,,2017-11-10 10:08:55,2017-11-10 10:08:56,0.656s,FAILED
click,Chrome 61.0.3163.100,,2017-11-10 10:08:56,2017-11-10 10:08:56,0.528s,FAILED
